filename,width,height,class,xmin,ymin,xmax,ymax
E:/Download/object_detection_training/training_dectetion_ssd/images/train/null_15815607080077.png,366,366,Ibuprofen 200 MG Oral Tablet,139,197,268,269
E:/Download/object_detection_training/training_dectetion_ssd/images/train/ABC00443.jpg,288,216,Acetaminophen 325 MG Oral Tablet,147,43,277,170
E:/Download/object_detection_training/training_dectetion_ssd/images/train/494b88fa-a2bd-4835-e054-00144ff8d46c.jpg,374,366,Ibuprofen 200 MG Oral Tablet,22,30,350,355
E:/Download/object_detection_training/training_dectetion_ssd/images/train/WRH01500.jpg,288,216,Ibuprofen 200 MG Oral Tablet,67,107,204,191
E:/Download/object_detection_training/training_dectetion_ssd/images/train/WHR01500.jpg,288,216,Ibuprofen 200 MG Oral Tablet,142,45,252,153
E:/Download/object_detection_training/training_dectetion_ssd/images/train/MDQ08030.jpg,288,216,Acetaminophen 325 MG Oral Tablet,156,37,277,156
E:/Download/object_detection_training/training_dectetion_ssd/images/train/30861_1486141826753753-2.jpg,0,0,Ibuprofen 200 MG Oral Tablet,177,220,225,253
E:/Download/object_detection_training/training_dectetion_ssd/images/train/421950145.jpg,160,120,Acetaminophen 325 MG Oral Tablet,48,52,134,92
E:/Download/object_detection_training/training_dectetion_ssd/images/train/505800501.jpg,640,480,Acetaminophen 325 MG Oral Tablet,65,251,580,467
E:/Download/object_detection_training/training_dectetion_ssd/images/train/005910853.jpg,160,120,Acetaminophen 325 MG Oral Tablet,24,64,133,115
E:/Download/object_detection_training/training_dectetion_ssd/images/train/54321_1581752549101101.png,220,108,Ibuprofen 200 MG Oral Tablet,3,4,218,98
E:/Download/object_detection_training/training_dectetion_ssd/images/train/1559966609945_479678-2.jpg,600,600,Acetaminophen 325 MG Oral Tablet,334,229,444,419
E:/Download/object_detection_training/training_dectetion_ssd/images/train/525440161.jpg,160,120,Acetaminophen 325 MG Oral Tablet,18,63,143,117
E:/Download/object_detection_training/training_dectetion_ssd/images/train/54321_1581752549101101 (1).png,404,404,Ibuprofen 200 MG Oral Tablet,70,146,289,252
E:/Download/object_detection_training/training_dectetion_ssd/images/train/00603-2540-21_45042291.jpg,160,122,Acetaminophen 325 MG Oral Tablet,36,57,133,112
E:/Download/object_detection_training/training_dectetion_ssd/images/train/WAL01040.jpg,288,216,Acetaminophen 325 MG Oral Tablet,151,50,274,168
E:/Download/object_detection_training/training_dectetion_ssd/images/train/hydrocodone.004060367.large.jpg,640,480,Acetaminophen 325 MG Oral Tablet,107,256,536,472
E:/Download/object_detection_training/training_dectetion_ssd/images/train/648_pd1738885_1.jpg,288,216,Ibuprofen 200 MG Oral Tablet,73,119,217,185
E:/Download/object_detection_training/training_dectetion_ssd/images/train/WAL02920.jpg,288,216,Ibuprofen 200 MG Oral Tablet,76,124,242,200
E:/Download/object_detection_training/training_dectetion_ssd/images/train/004060365.jpg,160,120,Acetaminophen 325 MG Oral Tablet,29,64,134,117
E:/Download/object_detection_training/training_dectetion_ssd/images/train/null_1564366361939939-2.png,155,159,Acetaminophen 325 MG Oral Tablet,1,8,153,156
E:/Download/object_detection_training/training_dectetion_ssd/images/train/272f18b6-1b10-5621-e054-00144ff8d46c.jpg,2237,2236,Acetaminophen 325 MG Oral Tablet,543,357,1715,1532
E:/Download/object_detection_training/training_dectetion_ssd/images/train/009047915.jpg,640,480,Ibuprofen 200 MG Oral Tablet,377,85,596,298
E:/Download/object_detection_training/training_dectetion_ssd/images/train/PGO04030.jpg,288,216,Acetaminophen 325 MG Oral Tablet,163,54,278,166
E:/Download/object_detection_training/training_dectetion_ssd/images/train/MJR19820.jpg,288,216,Acetaminophen 325 MG Oral Tablet,162,57,277,168
E:/Download/object_detection_training/training_dectetion_ssd/images/train/57896-0101-01_RXNAVIMAGE10_FB03FDAF.jpg,1024,896,Acetaminophen 325 MG Oral Tablet,542,120,1024,589
E:/Download/object_detection_training/training_dectetion_ssd/images/train/433530324.jpg,160,120,Acetaminophen 325 MG Oral Tablet,57,54,130,92
E:/Download/object_detection_training/training_dectetion_ssd/images/train/1c84d1d5-2318-5f9b-e054-00144ff88e88.jpg,800,600,Acetaminophen 325 MG Oral Tablet,446,237,568,355
E:/Download/object_detection_training/training_dectetion_ssd/images/train/53746-0110-05_RXNAVIMAGE10_E315F1BF.jpg,300,263,Acetaminophen 325 MG Oral Tablet,49,107,269,212
E:/Download/object_detection_training/training_dectetion_ssd/images/train/5mg-325mg_Hydrocodone-APAP_Tablet.jpg,288,216,Acetaminophen 325 MG Oral Tablet,59,114,228,195
E:/Download/object_detection_training/training_dectetion_ssd/images/train/null_1447885738791791-2.jpg,1090,1090,Acetaminophen 325 MG Oral Tablet,229,486,728,788
E:/Download/object_detection_training/training_dectetion_ssd/images/train/23171_145662686409999.jpg,0,0,Ibuprofen 200 MG Oral Tablet,106,129,174,198
E:/Download/object_detection_training/training_dectetion_ssd/images/train/2671_1421355374996996-2.png,320,320,Ibuprofen 200 MG Oral Tablet,93,169,203,225
E:/Download/object_detection_training/training_dectetion_ssd/images/train/005730150.jpg,640,480,Ibuprofen 200 MG Oral Tablet,334,86,630,388
E:/Download/object_detection_training/training_dectetion_ssd/images/train/502680408.jpg,160,120,Acetaminophen 325 MG Oral Tablet,17,61,143,119
E:/Download/object_detection_training/training_dectetion_ssd/images/train/006030263.jpg,640,480,Acetaminophen 325 MG Oral Tablet,314,117,576,368
E:/Download/object_detection_training/training_dectetion_ssd/images/train/7894bddb-4e7b-4f70-e053-2a91aa0a0cfe.jpg,1024,768,Acetaminophen 325 MG Oral Tablet,518,178,931,602
E:/Download/object_detection_training/training_dectetion_ssd/images/train/1569555463118_660457-2.jpg,600,600,Ibuprofen 200 MG Oral Tablet,190,151,447,405
E:/Download/object_detection_training/training_dectetion_ssd/images/train/1579894751203_432313-2.png,198,207,Ibuprofen 200 MG Oral Tablet,2,9,192,200
E:/Download/object_detection_training/training_dectetion_ssd/images/train/50580-0496-60_FF03FFBF.jpg,1024,781,Acetaminophen 325 MG Oral Tablet,541,123,1024,595
E:/Download/object_detection_training/training_dectetion_ssd/images/train/50844-0291-08_RXNAVIMAGE10_6335B1AD.jpg,1024,896,Ibuprofen 200 MG Oral Tablet,543,123,1024,597
E:/Download/object_detection_training/training_dectetion_ssd/images/train/37981_1510556368140140-2.jpg,0,0,Ibuprofen 200 MG Oral Tablet,115,226,221,334
E:/Download/object_detection_training/training_dectetion_ssd/images/train/null_1484795219615615.jpg,0,0,Ibuprofen 200 MG Oral Tablet,124,105,251,247
E:/Download/object_detection_training/training_dectetion_ssd/images/train/009041982.jpg,640,480,Acetaminophen 325 MG Oral Tablet,334,99,628,388
